,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.05,100000,200,2,9.07862401008606,0.0043489933013916016,0.23129630088806152
1,operations_first,0.05,100000,200,2,8.530044078826904,0.0046808719635009766,0.2242898941040039
2,operations_first,0.05,100000,200,2,8.666251420974731,0.00371551513671875,0.21377325057983398
3,operations_first,0.05,100000,200,2,9.424248218536377,0.0038764476776123047,0.24049735069274902
4,operations_first,0.05,100000,200,2,5.526483535766602,0.003622770309448242,0.23610973358154297
