,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,1.0,400000,500,2,60.23731279373169,0.11736512184143066,3.838243007659912
1,insertion_first,1.0,400000,500,2,59.044564723968506,0.12113165855407715,4.5848493576049805
2,insertion_first,1.0,400000,500,2,57.51144480705261,0.11818099021911621,3.89235782623291
3,insertion_first,1.0,400000,500,2,64.77433586120605,0.13492798805236816,4.601696014404297
4,insertion_first,1.0,400000,500,2,62.00101613998413,0.11725974082946777,3.8392717838287354
