,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.95,100000,100,2,15.65068006515503,0.025301694869995117,0.8009638786315918
1,insertion_first,0.95,100000,100,2,19.196356773376465,0.02306056022644043,0.6504342555999756
2,insertion_first,0.95,100000,100,2,15.26072072982788,0.02431011199951172,0.8139333724975586
3,insertion_first,0.95,100000,100,2,14.86049199104309,0.023119211196899414,0.8145828247070312
4,insertion_first,0.95,100000,100,2,17.081519603729248,0.02726435661315918,0.8660876750946045
