,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.05,400000,700,2,40.97666120529175,0.012119531631469727,0.7604467868804932
1,operations_first,0.05,400000,700,2,38.792468309402466,0.012238264083862305,0.7847373485565186
2,operations_first,0.05,400000,700,2,33.247161626815796,0.012350797653198242,0.7825987339019775
3,operations_first,0.05,400000,700,2,34.86981201171875,0.012312173843383789,0.7513368129730225
4,operations_first,0.05,400000,700,2,36.55497193336487,0.012510061264038086,0.7337009906768799
