,insert_first,update_percent,records,number_of_versions,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,1.0,100000,10,500,2,22.26948571205139,0.1190185546875,4.3437230587005615
1,insertion_first,1.0,100000,10,500,2,22.509883165359497,0.11774039268493652,4.085745096206665
2,insertion_first,1.0,100000,10,500,2,22.56825566291809,0.1209254264831543,3.3282582759857178
3,insertion_first,1.0,100000,10,500,2,24.090088605880737,0.11802363395690918,4.614913702011108
4,insertion_first,1.0,100000,10,500,2,22.606992959976196,0.12073636054992676,4.838653564453125
