,insert_first,update_percent,records,number_of_versions,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.0,100000,5,500,2,8.723608493804932,0.0021131038665771484,0.29331040382385254
1,operations_first,0.0,100000,5,500,2,8.173725605010986,0.0020203590393066406,0.2866816520690918
2,operations_first,0.0,100000,5,500,2,7.996531963348389,0.0020542144775390625,0.29041171073913574
3,operations_first,0.0,100000,5,500,2,8.083877325057983,0.0020859241485595703,0.28795719146728516
4,operations_first,0.0,100000,5,500,2,2.616600513458252,0.002070903778076172,0.3001573085784912
