,insert_first,update_percent,records,number_of_versions,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.5,100000,15,500,2,36.00941872596741,0.06291389465332031,2.917473077774048
1,insertion_first,0.5,100000,15,500,2,33.23256063461304,0.06156206130981445,2.615739345550537
2,insertion_first,0.5,100000,15,500,2,34.7092227935791,0.06343531608581543,2.9277310371398926
3,insertion_first,0.5,100000,15,500,2,34.24427771568298,0.06169748306274414,2.696692705154419
4,insertion_first,0.5,100000,15,500,2,36.621458530426025,0.07149720191955566,2.596896171569824
