,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.05,300000,200,2,28.53349280357361,0.003921985626220703,0.23392343521118164
1,operations_first,0.05,300000,200,2,28.91899085044861,0.004175901412963867,0.23244810104370117
2,operations_first,0.05,300000,200,2,25.58511734008789,0.004528045654296875,0.23989200592041016
3,operations_first,0.05,300000,200,2,15.124996185302734,0.004012346267700195,0.25736546516418457
4,operations_first,0.05,300000,200,2,20.738047122955322,0.0047457218170166016,0.2510969638824463
