,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.05,200000,100,2,32.447468519210815,0.0025496482849121094,0.1625230312347412
1,insertion_first,0.05,200000,100,2,32.652058601379395,0.0024433135986328125,0.16323184967041016
2,insertion_first,0.05,200000,100,2,31.871679067611694,0.0023560523986816406,0.1664423942565918
3,insertion_first,0.05,200000,100,2,29.010499715805054,0.0021877288818359375,0.16150379180908203
4,insertion_first,0.05,200000,100,2,29.177896976470947,0.00241851806640625,0.1683330535888672
