,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.5,300000,100,2,23.632803440093994,0.013172388076782227,0.39019012451171875
1,operations_first,0.5,300000,100,2,23.139222145080566,0.0129547119140625,0.541771411895752
2,operations_first,0.5,300000,100,2,29.32370376586914,0.013112306594848633,0.4805927276611328
3,operations_first,0.5,300000,100,2,28.36644172668457,0.013190269470214844,0.5287377834320068
4,operations_first,0.5,300000,100,2,15.327931642532349,0.01278996467590332,0.5734100341796875
