,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,operations_first,0.05,500000,500,2,40.49140787124634,0.009930610656738281,0.49982500076293945
1,operations_first,0.05,500000,500,2,48.977917194366455,0.012119293212890625,0.5589702129364014
2,operations_first,0.05,500000,500,2,51.33404898643494,0.008813619613647461,0.5305356979370117
3,operations_first,0.05,500000,500,2,47.23497223854065,0.009706497192382812,0.5442752838134766
4,operations_first,0.05,500000,500,2,42.672250747680664,0.009224653244018555,0.5473554134368896
