,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.05,500000,100,2,79.23370599746704,0.0023047924041748047,0.15054965019226074
1,insertion_first,0.05,500000,100,2,74.2146999835968,0.002238750457763672,0.1291365623474121
2,insertion_first,0.05,500000,100,2,72.71641659736633,0.0024492740631103516,0.1175837516784668
3,insertion_first,0.05,500000,100,2,70.0246205329895,0.002164602279663086,0.16172075271606445
4,insertion_first,0.05,500000,100,2,71.92602849006653,0.002617359161376953,0.12328338623046875
