,insert_first,update_percent,records,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.05,300000,200,2,45.32516002655029,0.0038013458251953125,0.3286921977996826
1,insertion_first,0.05,300000,200,2,43.10073518753052,0.004102945327758789,0.2861325740814209
2,insertion_first,0.05,300000,200,2,50.169036865234375,0.0041599273681640625,0.2654857635498047
3,insertion_first,0.05,300000,200,2,47.84018087387085,0.004563570022583008,0.2385540008544922
4,insertion_first,0.05,300000,200,2,47.66002869606018,0.004019737243652344,0.22383427619934082
