,insert_first,update_percent,records,number_of_versions,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.0,100000,15,100,2,35.08008289337158,0.00046634674072265625,0.06182456016540527
1,insertion_first,0.0,100000,15,100,2,32.038665771484375,0.0004520416259765625,0.06873822212219238
2,insertion_first,0.0,100000,15,100,2,39.43491864204407,0.00045180320739746094,0.06245875358581543
3,insertion_first,0.0,100000,15,100,2,33.93324542045593,0.00045752525329589844,0.06332111358642578
4,insertion_first,0.0,100000,15,100,2,36.83866477012634,0.0004513263702392578,0.06084012985229492
