,insert_first,update_percent,records,number_of_versions,number_of_operations,evolution_fields,insertion_phase,operations_baseline,operations_phase
0,insertion_first,0.5,100000,5,500,2,13.854729652404785,0.06729269027709961,2.4076149463653564
1,insertion_first,0.5,100000,5,500,2,14.55298638343811,0.06279850006103516,2.2083396911621094
2,insertion_first,0.5,100000,5,500,2,14.612984418869019,0.06271147727966309,1.885150671005249
3,insertion_first,0.5,100000,5,500,2,15.229994058609009,0.06194782257080078,2.2956671714782715
4,insertion_first,0.5,100000,5,500,2,13.891776323318481,0.060938358306884766,2.3573379516601562
